Date,Age,Infection-Vaccinated,Vaccinated without Validity,Infection-Not Vaccinated,"Infection-Vaccinated per 100,000 residents","Vaccinated without Validity per 100,000 residents","Infection-Not Vaccinated per 100,000 residents"
17-01-2021,מתחת לגיל 60,1,0,4436,6.4,0,66.6
17-01-2021,מעל גיל 60,0,0,243,0,0,51.4
17-01-2021,כלל האוכלוסיה,1,0,4715,3.9,0,66.1
18-01-2021,מעל גיל 60,4,0,346,19.8,0,74.2
18-01-2021,מתחת לגיל 60,2,0,8288,7.9,0,125.7
18-01-2021,כלל האוכלוסיה,6,0,8715,13.2,0,123.5
19-01-2021,מעל גיל 60,2,0,320,4.6,0,69.7
19-01-2021,מתחת לגיל 60,7,0,6955,18.3,0,106.5
19-01-2021,כלל האוכלוסיה,9,0,7330,11,0,104.9
20-01-2021,מעל גיל 60,9,0,323,10.6,0,71.3
20-01-2021,מתחת לגיל 60,9,0,6784,16.4,0,105.1
20-01-2021,כלל האוכלוסיה,18,0,7157,12.9,0,103.6
21-01-2021,מתחת לגיל 60,15,0,5916,20.7,0,92.5
21-01-2021,כלל האוכלוסיה,23,0,6264,11,0,91.6
21-01-2021,מעל גיל 60,8,0,301,5.8,0,67.4
22-01-2021,כלל האוכלוסיה,26,0,6315,10.5,0,92.8
22-01-2021,מתחת לגיל 60,7,0,6029,8.7,0,94.8
22-01-2021,מעל גיל 60,18,0,255,10.8,0,57.6
23-01-2021,כלל האוכלוסיה,12,0,2010,4.4,0,29.7
23-01-2021,מעל גיל 60,7,0,123,3.7,0,28
23-01-2021,מתחת לגיל 60,5,0,1870,5.9,0,29.6
24-01-2021,מעל גיל 60,21,0,196,8.3,0,45.2
24-01-2021,כלל האוכלוסיה,30,0,4092,8.3,0,61.1
24-01-2021,מתחת לגיל 60,9,0,3859,8.4,0,61.6
25-01-2021,מתחת לגיל 60,23,0,7027,15.6,0,113.6
25-01-2021,מעל גיל 60,50,0,322,15,0,75.5
25-01-2021,כלל האוכלוסיה,73,0,7389,15.2,0,111.7
26-01-2021,מעל גיל 60,66,0,299,15.6,0,71.2
26-01-2021,מתחת לגיל 60,29,0,6263,14.9,0,102.4
26-01-2021,כלל האוכלוסיה,95,0,6611,15.4,0,101.2
27-01-2021,כלל האוכלוסיה,120,0,6450,15.7,0,99.9
27-01-2021,מתחת לגיל 60,42,0,6097,16.8,0,100.9
27-01-2021,מעל גיל 60,78,0,262,15.2,0,63.3
28-01-2021,מעל גיל 60,119,0,278,19.7,0,68
28-01-2021,מתחת לגיל 60,55,0,5560,17.1,0,93.2
28-01-2021,כלל האוכלוסיה,174,0,5879,18.8,0,92.2
29-01-2021,מעל גיל 60,92,0,205,14.3,0,50.4
29-01-2021,מתחת לגיל 60,38,0,5335,10.7,0,89.9
29-01-2021,כלל האוכלוסיה,130,0,5571,13,0,87.9
30-01-2021,מעל גיל 60,26,0,113,3.9,0,27.9
30-01-2021,מתחת לגיל 60,11,0,2015,2.9,0,34.1
30-01-2021,כלל האוכלוסיה,37,0,2143,3.5,0,34
31-01-2021,כלל האוכלוסיה,105,0,4121,8.8,0,66.1
31-01-2021,מתחת לגיל 60,46,0,3940,10.3,0,67.5
31-01-2021,מעל גיל 60,59,0,158,7.9,0,39.5
01-02-2021,כלל האוכלוסיה,218,0,7266,16.4,0,118.1
01-02-2021,מתחת לגיל 60,86,0,6940,16.5,0,120.5
01-02-2021,מעל גיל 60,130,0,287,16.1,0,72.9
02-02-2021,כלל האוכלוסיה,227,0,6536,15.6,0,107.5
02-02-2021,מעל גיל 60,132,0,287,15.2,0,73.9
02-02-2021,מתחת לגיל 60,95,0,6209,16.1,0,109.1
03-02-2021,מעל גיל 60,91,0,232,9.8,0,60.6
03-02-2021,כלל האוכלוסיה,177,0,6072,11.2,0,100.9
03-02-2021,מתחת לגיל 60,86,0,5779,13.1,0,102.5
04-02-2021,כלל האוכלוסיה,197,0,5988,11.5,0,100.7
04-02-2021,מתחת לגיל 60,77,0,5690,10.5,0,102.2
04-02-2021,מעל גיל 60,120,0,252,12.2,0,66.5
05-02-2021,מעל גיל 60,91,0,242,9.1,0,64.2
05-02-2021,כלל האוכלוסיה,169,0,5359,9.5,0,90.6
05-02-2021,מתחת לגיל 60,77,0,5086,9.9,0,91.8
06-02-2021,מתחת לגיל 60,34,0,2003,4.2,0,36.3
06-02-2021,כלל האוכלוסיה,68,0,2146,3.7,0,36.4
06-02-2021,מעל גיל 60,34,0,133,3.3,0,35.4
07-02-2021,מתחת לגיל 60,67,0,3462,7.9,0,63.3
07-02-2021,מעל גיל 60,69,0,158,6.6,0,42.5
07-02-2021,כלל האוכלוסיה,138,0,3632,7.3,0,62.2
08-02-2021,כלל האוכלוסיה,176,0,6486,9.2,0,112.2
08-02-2021,מתחת לגיל 60,69,0,6167,7.9,0,113.9
08-02-2021,מעל גיל 60,107,0,286,10.2,0,77.7
09-02-2021,מתחת לגיל 60,66,0,4800,7.4,0,89.7
09-02-2021,מעל גיל 60,81,0,241,7.7,0,66.3
09-02-2021,כלל האוכלוסיה,148,0,5074,7.6,0,88.8
10-02-2021,כלל האוכלוסיה,111,0,4719,5.5,0,83.6
10-02-2021,מעל גיל 60,56,0,213,5.2,0,59.4
10-02-2021,מתחת לגיל 60,55,0,4469,5.9,0,84.6
11-02-2021,כלל האוכלוסיה,93,0,4229,4.5,0,76
11-02-2021,מעל גיל 60,47,0,206,4.4,0,58.3
11-02-2021,מתחת לגיל 60,46,0,3996,4.7,0,76.7
12-02-2021,כלל האוכלוסיה,91,0,3874,4.3,0,70.1
12-02-2021,מעל גיל 60,40,0,180,3.7,0,51.3
12-02-2021,מתחת לגיל 60,51,0,3667,5.1,0,70.9
13-02-2021,מתחת לגיל 60,14,0,1496,1.4,0,29.1
13-02-2021,מעל גיל 60,15,0,72,1.4,0,20.6
13-02-2021,כלל האוכלוסיה,29,0,1579,1.4,0,28.7
14-02-2021,מעל גיל 60,34,0,128,3.1,0,37.3
14-02-2021,כלל האוכלוסיה,70,0,2827,3.2,0,52.1
14-02-2021,מתחת לגיל 60,35,0,2680,3.2,0,52.8
15-02-2021,מעל גיל 60,33,0,213,3,0,63.2
15-02-2021,כלל האוכלוסיה,99,0,4347,4.4,0,81.4
15-02-2021,מתחת לגיל 60,66,0,4107,5.7,0,82.1
