Date,First_Dose_Counts,Second_Dose_Counts,Third_Dose_Counts,First_Dose_Percentage,Second_Dose_Percentage,Third_Dose_Percetage,Percentage_Not_Vaccinated,Percentage_of_Invalid_Vaccinations,Percentage_of_Vaccinated
19-12-2020,65,1,0,0,0,0,100,0,0
20-12-2020,7450,1,0,0.08,0,0,100,0,0
21-12-2020,32357,1,0,0.35,0,0,100,0,0
22-12-2020,76990,1,0,0.83,0,0,100,0,0
23-12-2020,139878,1,0,1.5,0,0,100,0,0
24-12-2020,213267,1,0,2.29,0,0,100,0,0
25-12-2020,251758,1,0,2.71,0,0,100,0,0
26-12-2020,284362,1,0,3.06,0,0,100,0,0
27-12-2020,388863,1,0,4.18,0,0,100,0,0
28-12-2020,523824,1,0,5.63,0,0,100,0,0
29-12-2020,680037,1,0,7.31,0,0,100,0,0
30-12-2020,833074,1,0,8.96,0,0,100,0,0
31-12-2020,991538,1,0,10.66,0,0,100,0,0
01-01-2021,1062911,1,0,11.43,0,0,100,0,0
02-01-2021,1134611,1,0,12.2,0,0,100,0,0
03-01-2021,1284271,1,0,13.81,0,0,100,0,0
04-01-2021,1436358,2,0,15.45,0,0,100,0,0
05-01-2021,1561440,2,0,16.79,0,0,100,0,0
06-01-2021,1664713,4,0,17.9,0,0,100,0,0
07-01-2021,1780696,9,0,19.15,0,0,100,0,0
08-01-2021,1847103,12,0,19.86,0,0,100,0,0
09-01-2021,1891612,35,0,20.34,0,0,100,0,0
10-01-2021,1929210,6029,0,20.75,0.06,0,100,0,0
11-01-2021,1950314,25280,0,20.97,0.27,0,100,0,0
12-01-2021,1974317,60929,0,21.23,0.66,0,100,0,0
13-01-2021,2026312,117782,0,21.79,1.27,0,100,0,0
14-01-2021,2082721,186594,0,22.4,2.01,0,100,0,0
15-01-2021,2113420,222508,0,22.73,2.39,0,100,0,0
16-01-2021,2142840,248508,0,23.04,2.67,0,100,0,0
17-01-2021,2211203,333062,0,23.78,3.58,0,99.64,0,0.36
18-01-2021,2280875,453422,0,24.53,4.88,0,99.36,0,0.64
19-01-2021,2353623,591167,0,25.31,6.36,0,98.84,0,1.16
20-01-2021,2430362,734812,0,26.13,7.9,0,98.02,0,1.98
21-01-2021,2500206,899109,0,26.89,9.67,0,97.02,0,2.98
22-01-2021,2538019,970164,0,27.29,10.43,0,96.5,0,3.5
23-01-2021,2577931,1023703,0,27.72,11.01,0,96.11,0,3.89
24-01-2021,2646958,1164299,0,28.46,12.52,0,94.9,0,5.1
25-01-2021,2727775,1303702,0,29.33,14.02,0,93.23,0,6.77
26-01-2021,2806393,1430005,0,30.18,15.38,0,91.36,0,8.64
27-01-2021,2884233,1554937,0,31.02,16.72,0,89.45,0,10.55
28-01-2021,2963682,1685438,0,31.87,18.12,0,87.32,0,12.68
29-01-2021,3000283,1750170,0,32.26,18.82,0,86.4,0,13.6
30-01-2021,3034629,1792890,0,32.63,19.28,0,85.71,0,14.29
31-01-2021,3107885,1852329,0,33.42,19.92,0,83.94,0,16.06
01-02-2021,3190299,1887616,0,34.31,20.3,0,82.2,0,17.8
02-02-2021,3260280,1918626,0,35.06,20.63,0,80.66,0,19.34
03-02-2021,3320475,1969974,0,35.71,21.18,0,79.18,0,20.82
04-02-2021,3392995,2027993,0,36.49,21.81,0,77.63,0,22.37
05-02-2021,3426855,2056722,0,36.85,22.12,0,76.87,0,23.13
06-02-2021,3448426,2078911,0,37.08,22.36,0,76.38,0,23.62
07-02-2021,3502449,2147567,0,37.66,23.09,0,75.62,0,24.38
08-02-2021,3561006,2212923,0,38.29,23.8,0,75.07,0,24.93
09-02-2021,3627256,2280371,0,39.01,24.52,0,74.54,0,25.46
10-02-2021,3697696,2352543,0,39.76,25.3,0,73.8,0,26.2
11-02-2021,3778753,2424525,0,40.63,26.07,0,72.95,0,27.05
12-02-2021,3817776,2462026,0,41.05,26.48,0,72.52,0,27.48
13-02-2021,3845182,2492416,0,41.35,26.8,0,72.21,0,27.79
14-02-2021,3920010,2561405,0,42.15,27.54,0,71.27,0,28.73
15-02-2021,4001451,2637015,0,43.03,28.36,0,70.34,0,29.66
16-02-2021,4084795,2715201,0,43.93,29.2,0,69.39,0,30.61
17-02-2021,4146682,2790731,0,44.59,30.01,0,68.47,0,31.53
18-02-2021,4215744,2870384,0,45.33,30.87,0,67.52,0,32.48
19-02-2021,4255332,2908465,0,45.76,31.28,0,67.01,0,32.99
20-02-2021,4286940,2937153,0,46.1,31.58,0,66.6,0,33.4
21-02-2021,4366302,3015518,0,46.95,32.43,0,65.64,0,34.36
22-02-2021,4451269,3096031,0,47.87,33.29,0,64.6,0,35.4
23-02-2021,4528500,3166413,0,48.7,34.05,0,63.56,0,36.44
24-02-2021,4589474,3229431,0,49.35,34.73,0,62.64,0,37.36
25-02-2021,4641092,3294129,0,49.91,35.42,0,61.72,0,38.28
26-02-2021,4666911,3326093,0,50.19,35.77,0,61.28,0,38.72
27-02-2021,4685199,3347263,0,50.38,35.99,0,60.96,0,39.04
28-02-2021,4725460,3403082,0,50.82,36.6,0,60.12,0,39.88
01-03-2021,4771068,3464439,0,51.31,37.25,0,59.26,0,40.74
02-03-2021,4812149,3529125,0,51.75,37.95,0,58.5,0,41.5
03-03-2021,4854057,3595804,0,52.2,38.67,0,57.8,0,42.2
04-03-2021,4893631,3674814,0,52.62,39.52,0,57.1,0,42.9
05-03-2021,4910877,3715209,0,52.81,39.95,0,56.76,0,43.24
06-03-2021,4921510,3740515,0,52.92,40.22,0,56.55,0,43.45
07-03-2021,4952566,3813294,0,53.26,41.01,0,55.96,0,44.04
08-03-2021,4979826,3886502,0,53.55,41.79,0,55.34,0,44.66
09-03-2021,5006459,3963034,0,53.84,42.62,0,54.68,0,45.32
10-03-2021,5029678,4021626,0,54.09,43.25,0,54.02,0,45.98
11-03-2021,5052853,4090612,0,54.34,43.99,0,53.29,0,46.71
12-03-2021,5064029,4131950,0,54.46,44.43,0,52.93,0,47.07
13-03-2021,5071918,4157150,0,54.54,44.7,0,52.7,0,47.3
14-03-2021,5092798,4231029,0,54.77,45.5,0,52.06,0,47.94
15-03-2021,5112827,4309207,0,54.98,46.34,0,51.44,0,48.56
16-03-2021,5131465,4380603,0,55.18,47.11,0,50.83,0,49.17
17-03-2021,5149054,4439545,0,55.37,47.74,0,50.33,0,49.67
18-03-2021,5164980,4497584,0,55.54,48.36,0,49.8,0,50.2
19-03-2021,5171822,4525498,0,55.62,48.67,0,49.5,0,50.5
20-03-2021,5176975,4540759,0,55.67,48.83,0,49.31,0,50.69
21-03-2021,5190069,4581196,0,55.81,49.26,0,48.78,0,51.22
22-03-2021,5203517,4621645,0,55.96,49.7,0,48.24,0,51.76
23-03-2021,5206219,4628858,0,55.99,49.78,0,47.81,0,52.19
24-03-2021,5217099,4675317,0,56.1,50.28,0,47.41,0,52.59
25-03-2021,5227229,4710663,0,56.21,50.66,0,47.02,0,52.98
26-03-2021,5231306,4723928,0,56.25,50.8,0,46.84,0,53.16
27-03-2021,5233038,4728153,0,56.27,50.84,0,46.74,0,53.26
28-03-2021,5235102,4732731,0,56.3,50.89,0,46.51,0,53.49
29-03-2021,5241920,4762676,0,56.37,51.22,0,46.24,0,53.76
30-03-2021,5249668,4785018,0,56.45,51.46,0,46.16,0,53.84
31-03-2021,5257706,4804387,0,56.54,51.66,0,45.86,0,54.14
01-04-2021,5265751,4822975,0,56.63,51.86,0,45.63,0,54.37
02-04-2021,5268593,4831028,0,56.66,51.95,0,45.54,0,54.46
03-04-2021,5269960,4833946,0,56.67,51.98,0,45.51,0,54.49
04-04-2021,5279538,4856727,0,56.77,52.23,0,45.42,0,54.58
05-04-2021,5289777,4877900,0,56.88,52.45,0,45.21,0,54.79
06-04-2021,5298651,4894565,0,56.98,52.63,0,45.03,0,54.97
07-04-2021,5307425,4909750,0,57.07,52.8,0,44.88,0,55.12
08-04-2021,5316673,4926638,0,57.17,52.98,0,44.72,0,55.28
09-04-2021,5320135,4932780,0,57.21,53.04,0,44.66,0,55.34
10-04-2021,5321683,4936248,0,57.23,53.08,0,44.63,0,55.37
11-04-2021,5330638,4950427,0,57.32,53.23,0,44.46,0,55.54
12-04-2021,5339431,4963551,0,57.42,53.38,0,44.29,0,55.71
13-04-2021,5345120,4968416,0,57.48,53.43,0,44.17,0,55.83
14-04-2021,5348627,4973605,0,57.52,53.48,0,44.07,0,55.93
15-04-2021,5349162,4974109,0,57.52,53.49,0,43.97,0,56.03
16-04-2021,5352434,4980657,0,57.56,53.56,0,43.92,0,56.08
17-04-2021,5353200,4982592,0,57.57,53.58,0,43.9,0,56.1
18-04-2021,5360210,4989982,0,57.64,53.66,0,43.78,0,56.22
19-04-2021,5366488,4997016,0,57.71,53.74,0,43.67,0,56.33
20-04-2021,5372617,5003791,0,57.77,53.81,0,43.6,0,56.4
21-04-2021,5378829,5010783,0,57.84,53.88,0,43.54,0,56.46
22-04-2021,5384638,5018351,0,57.9,53.96,0,43.5,0,56.5
23-04-2021,5387268,5021653,0,57.93,54,0,43.45,0,56.55
24-04-2021,5387971,5022891,0,57.94,54.01,0,43.43,0,56.57
25-04-2021,5392723,5029763,0,57.99,54.09,0,43.36,0,56.64
